mm_dm_datatype_rela_upload,模型数据类型关系上传,元数据对象
batch_id,bigint,批次标识
conflict_situation_cd,character varying(30),冲突情况代码
create_tm,timestamp without time zone,记录创建时间
creator,bigint,记录创建人
dm_datatype_rela_id,bigint,模型数据类型关系标识
dm_id,bigint,模型标识
if_delete,character varying(1),是否删除记录
modifier,bigint,记录修改人
modify_tm,timestamp without time zone,记录修改时间
source_datatype_id,bigint,源数据类型标识
source_datatype_len_scope,numeric(38,6),源数据类型长度范围
source_datatype_scale_scope,numeric(38,6),源数据类型精度范围
target_datatype_id,bigint,目标数据类型标识
tenant_id,bigint,租户标识
